ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
lane15	UNKNOWN	DB143	228159046	227979975	3627981	1.29321	220405318	7643263	99702	4324	1829	603	321	212	153	102	105	105	98	128	258	765	1760	16530961	14530671	13041144	12109480	11067449	9548724	8094312	6939282	5784960	4430052	
lane16	UNKNOWN	DB143	348031027	347762207	5778034	1.31825	336196213	11666014	152014	6656	2915	892	549	271	200	163	158	138	155	193	392	1231	2873	25195325	22198393	19972649	18593548	16997173	14684083	12448457	10679510	8900321	6808649	
lane3	UNKNOWN	DB144	275656042	275436093	2686312	0.826077	266184116	9338387	122880	5986	922	633	313	227	153	118	133	114	139	167	268	518	968	19839116	17489430	15683495	14479823	13167239	11393112	9641188	8251700	6876904	5282742	
lane4	UNKNOWN	DB144	315960544	315724500	3444534	0.881756	305075334	10731275	141706	6679	1068	706	392	242	207	137	141	125	148	197	330	623	1234	22775924	20010402	17887454	16447247	14899389	12859628	10866614	9262521	7688165	5888726	
lane13	UNKNOWN	DB145	184737273	184533410	3257991	1.6395	178509516	6137787	81033	3575	764	551	309	174	146	115	110	65	92	130	257	741	1908	13213147	11577729	10424292	9708332	8859298	7631836	6463702	5532512	4617446	3538799	
lane14	UNKNOWN	DB145	249977716	249731416	4944099	1.73755	241551154	8303556	110245	5058	1156	779	405	235	205	155	125	129	131	179	388	1112	2704	17879911	15668868	14108565	13129811	11991535	10333561	8751692	7510179	6273232	4819184	
lane3	UNKNOWN	DB146	229599949	229276776	1797632	1.10934	221712260	7776722	102359	4002	830	526	298	189	138	98	99	98	108	169	249	659	1145	16545022	14422850	12754208	11561773	10358988	8888492	7489849	6339374	5243585	4019131	
lane4	UNKNOWN	DB146	282835577	282449009	2583642	1.06713	273113938	9586251	125189	4706	1046	633	352	211	169	133	111	111	131	178	312	728	1378	20354007	17693371	15607111	14121828	12633648	10831911	9109419	7708736	6358389	4877664	
lane7	UNKNOWN	DB147	239139785	238837965	1827512	0.978925	230900247	8123046	107167	4692	918	566	329	179	139	104	70	84	80	133	214	575	1242	17302449	15167714	13534973	12426103	11213862	9622506	8106600	6893110	5700027	4353080	
lane8	UNKNOWN	DB147	301472361	301120190	2307363	0.894436	291063140	10261385	136341	5953	1130	749	377	230	158	125	99	87	118	138	238	695	1398	21744816	19128018	17128907	15776946	14285414	12287582	10395868	8880451	7371925	5649327	
lane7	UNKNOWN	DB148	247444830	246882057	2772276	0.878365	238893637	8430308	112004	4339	966	608	362	175	124	81	65	71	83	104	184	555	1164	17824030	15599964	13937220	12806604	11551657	9907939	8346433	7089829	5845298	4448253	
lane8	UNKNOWN	DB148	300345214	299751180	3168323	0.797409	289962913	10236576	135330	5273	1091	739	389	233	165	101	79	76	85	120	232	546	1266	21586206	18958353	16971924	15642063	14156113	12176157	10280399	8757928	7256017	5541747	
lane15	UNKNOWN	DB149	190137780	189947028	2685679	1.67434	183697315	6348214	83436	3485	755	511	272	180	121	111	83	76	104	148	252	781	1936	13608142	11850328	10579633	9751399	8821205	7560024	6362305	5417044	4486908	3412536	
lane16	UNKNOWN	DB149	286982108	286601454	4411817	1.55754	277259099	9584206	125605	5468	1126	785	434	298	177	130	127	123	139	229	322	1104	2736	20547380	17941272	16053425	14847253	13458840	11548553	9738559	8306726	6887789	5234934	
lane5	UNKNOWN	DB150	387562153	387263536	5175648	1.15841	374413207	12965900	168259	6656	1415	901	540	358	194	204	172	175	212	330	520	1140	1970	28049373	24399276	21575442	19669658	17717352	15219443	12859492	10952150	9103942	6986770	
lane6	UNKNOWN	DB150	217046800	216864474	2246336	0.931055	209676823	7269267	93392	3506	775	468	248	156	115	98	82	87	95	131	222	507	828	15760708	13614472	11969762	10838359	9716227	8314862	6992005	5916653	4881764	3737558	
lane13	UNKNOWN	DB151	214374761	214207863	2678359	0.739902	207023007	7248694	95537	4080	746	546	235	108	91	66	65	57	54	72	115	390	898	15394361	13462516	12042465	11124633	10079969	8650275	7291113	6209444	5132241	3894687	
lane14	UNKNOWN	DB151	287575709	287386582	3989448	0.814781	277712620	9726057	126787	5391	1007	684	340	206	139	97	90	49	56	104	158	607	1317	20659933	18060088	16149822	14892851	13493719	11566928	9755530	8297018	6863316	5212370	
lane3	UNKNOWN	DB152	286647307	286336658	2848428	0.735036	276947975	9566694	123805	4354	979	633	324	201	155	142	105	109	107	158	269	478	819	20919864	18275873	16199335	14836888	13429974	11594225	9821462	8372261	6954665	5332996	
lane4	UNKNOWN	DB152	347100212	346729421	3910956	0.695812	335338937	11599944	150572	5515	1155	768	427	258	173	138	109	111	121	159	262	641	922	25330305	22079104	19542864	17861145	16148881	13934660	11790392	10042020	8332666	6388593	
lane13	UNKNOWN	DB153	243056021	242883599	3377917	1.1008	234704807	8234627	106752	4157	1705	562	312	171	112	93	82	78	80	107	222	651	1503	17363278	15122816	13408878	12246437	10981479	9381290	7873779	6669039	5490247	4159354	
lane14	UNKNOWN	DB153	320544567	320329916	4954492	1.25097	309535762	10854159	140941	5591	2288	811	391	249	199	162	129	122	124	184	366	966	2123	22896853	19922655	17657646	16086821	14421634	12314252	10330261	8747736	7197801	5458726	
lane1	UNKNOWN	DB154	326737899	326536938	3303786	0.621887	315457007	11124773	144102	6000	2476	721	377	221	144	115	97	99	85	151	185	401	945	23359923	20580814	18418322	16915983	15272709	13141384	11089715	9431818	7802787	5951330	
lane2	UNKNOWN	DB154	326665933	326452469	3544930	0.656774	315376909	11131935	144972	5985	2432	752	366	224	160	120	118	90	97	138	219	458	958	23337297	20577678	18432158	16925432	15283803	13151804	11100264	9436162	7794763	5948575	
lane1	UNKNOWN	DB155	323260103	323104835	5141013	0.613788	312227878	10878673	143315	5626	1158	724	418	189	149	96	86	79	84	116	180	419	913	23230994	20152177	17856588	16351045	14704762	12528739	10509751	8896227	7332115	5548646	
lane2	UNKNOWN	DB155	330461833	330292368	5232103	0.657003	319180191	11125745	145556	5582	1082	744	393	206	155	89	80	74	86	116	205	506	1023	23756432	20639294	18313212	16779057	15090775	12872525	10793035	9150116	7534263	5702944	
